tamanho,ano,garagem,predicted
239.0,2007,3,354097.44
113.0,1977,2,155582.25
122.0,1929,2,135871.8
71.0,1925,2,100561.23
132.0,1981,2,182380.11
140.0,1997,2,197337.03
204.0,1939,1,206344.25
72.0,1940,1,115073.875
103.0,1976,1,138921.92
180.0,2006,3,296359.9
127.0,1954,2,144333.3
211.0,1999,3,274098.0
152.0,1958,1,153391.69
76.0,1982,1,129003.98
144.0,1925,2,169215.03
145.0,2003,2,200492.72
80.0,1951,2,115506.94
197.0,2006,3,326704.84
188.0,1977,2,198857.9
184.0,1989,2,220665.2
117.0,2006,2,182539.1
122.0,2007,2,211215.39
136.0,2008,3,240784.25
146.0,1992,2,200174.3
116.0,2006,2,182539.1
161.0,1962,2,176155.8
80.0,1971,0,107766.88
84.0,1967,1,125920.02
130.0,1915,1,124445.03
178.0,2006,2,249447.17
159.0,1912,0,123587.305
159.0,1949,1,153391.69
210.0,1977,2,213026.33
153.0,1953,2,176155.8
93.0,1984,2,151046.98
145.0,1950,1,153391.69
181.0,1997,2,220488.3
162.0,1968,2,181641.75
107.0,1950,1,132547.22
124.0,1953,1,135956.31
228.0,1998,2,252375.55
143.0,2001,3,209219.97
83.0,1972,2,133250.06
325.0,1880,3,284462.84
186.0,2004,3,296183.56
208.0,1990,3,254704.75
131.0,1920,0,115336.766
80.0,1940,2,107405.195
181.0,2003,3,263887.47
139.0,1993,2,194004.7
90.0,1948,1,122491.805
104.0,1939,2,133530.1
189.0,1965,2,223015.03
152.0,1925,2,169215.03
133.0,2004,2,190416.03
219.0,1980,2,236575.64
182.0,2006,3,273982.25
246.0,1993,3,258801.7
137.0,1980,2,168388.05
241.0,2006,3,321140.03
229.0,2004,3,317600.34
254.0,1986,2,277449.9
108.0,1955,1,138019.53
277.0,1967,2,278744.0
75.0,1941,2,103994.37
160.0,1993,2,207483.81
128.0,1960,1,144738.05
198.0,1916,2,172350.81
111.0,1920,1,120453.2
161.0,1964,1,153391.69
98.0,1958,1,135475.3
151.0,2003,3,245256.94
126.0,2004,2,184399.88
152.0,1998,2,205912.2
166.0,1965,2,188697.5
179.0,2005,3,288117.12
143.0,2002,2,205912.2
151.0,1984,2,200174.3
113.0,1958,1,138019.53
177.0,2002,2,213110.88
78.0,1950,1,115769.55
97.0,1949,2,120448.64
156.0,2005,2,245899.33
103.0,1976,1,138921.92
147.0,1939,1,156469.7
89.0,1960,1,125920.02
137.0,1960,2,166143.5
151.0,2003,2,200492.72
253.0,2005,3,412584.34
174.0,2007,2,249447.17
135.0,1986,2,181560.14
103.0,1941,1,126346.02
67.0,1928,2,100561.23
148.0,1940,1,156469.7
111.0,1995,2,164006.39
108.0,1992,2,169691.38
106.0,1976,2,153464.48
126.0,1958,1,142406.16
179.0,1998,2,220488.3
85.0,1978,2,143171.88
140.0,1940,1,151391.75
179.0,2003,2,215068.81
92.0,1972,1,119507.555
146.0,1976,2,178633.86
125.0,1920,1,121885.89
130.0,1963,2,157596.81
133.0,1962,1,147026.14
118.0,1954,1,135956.31
120.0,1959,2,157596.81
155.0,2000,2,209563.03
148.0,1959,2,176155.8
70.0,1984,1,129003.98
123.0,1953,1,135956.31
179.0,2003,2,215068.81
84.0,1922,0,91327.47
85.0,1996,2,151023.14
229.0,2004,2,271104.12
172.0,2010,3,349958.53
167.0,2000,2,212494.44
157.0,1924,1,156469.7
121.0,2006,2,186607.64
167.0,2006,2,242461.33
73.0,1928,2,100561.23
181.0,1992,2,220665.2
118.0,2004,2,180331.33
110.0,1910,0,96124.25
105.0,1976,1,138921.92
137.0,1999,2,186452.14
217.0,2007,3,354097.44
127.0,1900,1,114867.92
182.0,2001,2,220488.3
82.0,1959,1,123994.53
73.0,1941,0,98620.73
96.0,1940,1,119947.56
106.0,1956,1,138019.53
83.0,1972,2,133250.06
168.0,1962,1,164687.02
100.0,1920,1,119238.74
144.0,2006,2,210199.0
120.0,1996,2,183046.61
122.0,2005,2,184399.88
62.0,1940,1,102345.84
210.0,1998,2,252375.55
146.0,1995,2,203832.98
151.0,1976,2,178633.86
152.0,1936,1,156469.7
156.0,1915,1,142520.89
202.0,2006,3,305667.9
193.0,2007,3,352640.25
119.0,1958,1,138019.53
98.0,1955,2,140757.2
137.0,2009,2,220534.23
96.0,1927,2,119152.89
195.0,1993,3,231468.27
124.0,2007,2,211215.39
130.0,1978,2,158145.62
244.0,1918,3,236177.23
105.0,1940,1,126346.02
98.0,1968,1,137807.19
125.0,1997,4,227834.6
149.0,1977,2,178633.86
92.0,1954,2,123393.52
244.0,1998,3,305411.5
111.0,1956,1,138019.53
129.0,1946,1,126346.02
153.0,1989,2,200174.3
84.0,1957,1,123588.13
112.0,2007,2,188851.17
131.0,1988,2,177553.05
92.0,1971,1,119507.555
111.0,1920,0,96124.25
127.0,1971,2,157596.81
149.0,1997,2,205912.2
59.0,1972,0,100070.85
154.0,1996,2,209563.03
104.0,1920,2,127546.46
84.0,1926,1,112436.32
64.0,1913,1,96842.07
111.0,1920,2,127546.46
223.0,2008,3,440418.34
134.0,1955,0,127593.914
146.0,1930,2,169215.03
117.0,2006,3,185944.9
177.0,1994,2,216165.69
157.0,1956,2,176155.8
175.0,1966,2,191398.86
175.0,1998,2,213110.88
128.0,1937,1,126346.02
110.0,1948,1,129996.52
76.0,1930,1,110510.84
142.0,1975,2,183271.34
163.0,1996,2,219302.94
148.0,2008,2,241737.22
161.0,1976,2,178633.86
115.0,1973,2,152872.2
125.0,1916,3,124616.586
154.0,1954,2,176155.8
155.0,1925,1,156469.7
112.0,1950,1,132547.22
180.0,2009,2,244534.28
105.0,1936,2,133530.1
80.0,1965,1,123994.53
154.0,1934,1,156469.7
97.0,1978,0,137542.44
131.0,2004,2,178934.55
119.0,1970,2,157596.81
153.0,1942,1,156469.7
152.0,2006,3,245256.94
159.0,1993,2,207483.81
140.0,1985,2,190346.02
183.0,1977,2,193141.53
100.0,2005,2,152867.48
184.0,2006,3,326704.84
153.0,2000,2,209563.03
90.0,1963,2,136952.48
139.0,1997,2,197337.03
246.0,2006,3,330930.16
160.0,2007,3,298268.44
105.0,1937,2,133530.1
172.0,2004,3,288117.12
166.0,2003,3,270982.53
170.0,1915,1,157191.11
113.0,1998,2,170795.36
93.0,1962,1,129840.5
103.0,1950,1,132547.22
100.0,1965,2,150767.42
138.0,1971,2,171955.02
224.0,1900,2,155176.22
59.0,1970,1,103191.23
121.0,1976,1,141039.7
147.0,1941,1,156469.7
135.0,2006,2,200335.73
118.0,1960,1,140351.42
82.0,1938,1,115073.875
67.0,1920,0,81484.44
300.0,1992,2,320236.66
169.0,1925,1,176323.19
84.0,1967,1,125920.02
85.0,1958,1,123588.13
113.0,1973,1,133938.95
164.0,2005,2,242461.33
113.0,1965,2,152872.2
167.0,1959,2,185142.98
123.0,1974,2,160306.86
182.0,1952,2,161459.25
178.0,1993,2,218482.56
113.0,2009,2,188851.17
128.0,1928,2,144943.2
97.0,1959,1,135621.47
127.0,1951,1,140342.9
127.0,2005,2,184399.88
80.0,1958,2,129180.74
100.0,1983,2,152347.94
73.0,1926,1,108373.45
188.0,2009,3,353468.06
197.0,1972,2,208896.27
218.0,1996,3,271849.66
167.0,1998,2,212494.44
193.0,1926,1,203946.23
120.0,1900,0,106497.555
116.0,1957,1,138019.53
155.0,1947,2,163453.88
434.0,2007,3,183551.48
223.0,1996,3,284006.66
118.0,2005,2,180331.33
86.0,1956,1,123588.13
252.0,2008,3,462203.72
56.0,1920,0,81484.44
234.0,1957,2,214011.67
140.0,1988,2,190346.02
127.0,1920,2,129195.22
77.0,1955,1,121662.65
31.0,1946,0,81638.59
131.0,2004,2,178934.55
125.0,1910,0,106077.01
160.0,1998,2,209563.03
80.0,1972,2,130408.36
108.0,1968,1,140351.42
149.0,2001,2,205912.2
171.0,2006,3,296359.9
212.0,2000,3,265662.1
156.0,1998,2,209563.03
71.0,1998,1,128918.51
139.0,2006,2,204489.72
203.0,1988,3,237836.88
152.0,1923,2,169215.03
71.0,1970,2,130408.36
77.0,1955,2,118328.72
195.0,2003,2,244613.55
99.0,1977,2,151359.7
86.0,1957,1,123588.13
160.0,2006,3,285671.2
105.0,1949,2,133530.1
190.0,2003,3,300754.4
97.0,1922,1,115659.984
101.0,1957,1,135475.3
124.0,1920,1,121885.89
134.0,1996,2,184892.47
145.0,2003,2,200492.72
129.0,1957,2,157596.81
129.0,1974,2,160306.86
93.0,1940,0,100687.29
156.0,1918,2,167722.05
213.0,1992,2,258633.36
153.0,1915,1,142520.89
233.0,2005,3,317600.34
143.0,2004,2,200492.72
198.0,1983,2,252388.8
88.0,1979,2,143171.88
161.0,1965,2,178633.86
80.0,1959,1,123994.53
157.0,2009,2,247192.16
133.0,2000,2,190416.03
103.0,1971,1,133938.95
113.0,1947,1,126346.02
137.0,1928,1,140016.69
123.0,1966,2,157596.81
129.0,2007,2,208486.05
167.0,1954,1,165340.81
133.0,1960,2,166143.5
190.0,2008,3,353468.06
76.0,1990,0,129247.41
258.0,1893,2,215661.06
146.0,1935,1,156469.7
188.0,2005,3,296183.56
78.0,1918,1,113069.984
80.0,1982,2,138313.83
137.0,1968,1,149079.95
87.0,1930,1,117233.1
147.0,2004,2,200492.72
213.0,2008,3,440418.34
76.0,1982,2,137439.56
79.0,2003,2,147743.25
86.0,1975,1,120668.15
170.0,2005,3,288117.12
127.0,1910,1,119815.26
130.0,2006,3,242593.9
153.0,1977,2,178633.86
145.0,1980,2,178633.86
177.0,2005,2,249447.17
128.0,1937,1,126346.02
178.0,1992,2,215604.66
111.0,2004,2,165312.34
139.0,2002,2,197337.03
185.0,1965,2,202129.84
97.0,1996,2,152867.48
187.0,1948,1,181301.53
297.0,1934,2,315480.1
96.0,1961,1,132795.31
200.0,2000,3,269986.66
96.0,1978,2,151586.64
174.0,2001,2,213110.88
104.0,2007,0,136109.67
59.0,1972,0,100070.85
98.0,1963,2,149539.8
140.0,2002,2,197337.03
77.0,1954,2,116143.766
170.0,2007,3,329461.9
210.0,2003,3,306533.62
80.0,1914,0,94057.69
243.0,1974,2,216298.27
91.0,1977,2,143171.88
140.0,2000,2,197337.03
166.0,1972,2,188697.5
104.0,1962,2,151644.58
132.0,1960,1,147026.14
141.0,1955,1,153391.69
193.0,1969,2,208896.27
125.0,1964,2,157596.81
163.0,1880,1,135148.73
144.0,2006,2,210199.0
131.0,1977,2,158145.62
98.0,1954,1,133412.06
98.0,1980,2,151359.7
315.0,1914,0,194455.38
74.0,1936,0,98620.73
129.0,1954,1,140342.9
74.0,1910,0,91920.3
146.0,2006,3,223979.28
141.0,2003,2,205130.2
179.0,2001,2,220488.3
251.0,1972,2,278744.0
151.0,1969,2,178633.86
164.0,2009,3,316382.94
91.0,1971,2,138180.11
97.0,1950,2,120448.64
102.0,1953,2,140798.75
171.0,1966,2,191398.86
59.0,1970,0,100070.85
155.0,2007,2,245899.33
140.0,1940,1,151391.75
159.0,1996,2,209563.03
136.0,1906,1,131463.45
196.0,1995,3,266697.84
101.0,1971,1,131394.72
98.0,1959,1,137807.19
140.0,1931,1,152876.72
135.0,1948,1,140080.31
138.0,1964,2,170259.28
180.0,1976,2,196413.47
227.0,1994,3,280717.88
129.0,1968,2,157596.81
110.0,1972,2,152872.2
195.0,2005,3,296183.56
180.0,2000,2,220488.3
221.0,1965,2,199220.36
156.0,1994,2,207483.81
134.0,1956,2,166143.5
110.0,1922,1,120453.2
137.0,2005,2,192979.02
127.0,1925,1,121885.89
112.0,1977,2,155582.25
171.0,1957,2,189493.56
106.0,1965,1,140351.42
134.0,1978,2,168388.05
165.0,1900,3,117894.85
74.0,1924,1,108373.45
190.0,2008,3,353468.06
92.0,1961,2,139574.03
86.0,1980,1,128889.99
141.0,1932,1,156469.7
120.0,1996,2,183046.61
155.0,2002,3,248486.72
171.0,1998,2,213110.88
194.0,1984,2,219708.22
164.0,2007,2,242461.33
102.0,2004,2,154965.25
132.0,2007,2,248489.34
127.0,2005,2,184399.88
79.0,2004,2,147743.25
401.0,1994,3,544385.7
234.0,1989,2,269481.88
100.0,1921,1,119238.74
143.0,1936,2,163453.88
106.0,1987,2,162370.3
57.0,1921,1,98912.7
107.0,1952,1,135956.31
83.0,1965,1,125920.02
129.0,2004,2,184399.88
167.0,2002,3,255369.67
108.0,1969,2,152872.2
239.0,2006,3,333456.03
168.0,1900,2,146747.4
138.0,2004,2,190019.11
101.0,1930,0,96124.25
169.0,1971,2,191398.86
123.0,2006,2,186607.64
135.0,2007,2,219463.66
84.0,1966,1,125920.02
68.0,1935,0,81484.44
109.0,1900,1,113435.234
114.0,1988,2,172093.3
89.0,1970,2,138180.11
137.0,1976,2,168388.05
125.0,1974,2,160306.86
237.0,1890,2,155176.22
109.0,1973,2,152872.2
225.0,1993,3,266861.78
90.0,1969,1,125920.02
162.0,1985,2,203182.19
79.0,2004,2,147743.25
80.0,1970,2,130408.36
137.0,1954,1,142631.03
158.0,2007,3,298268.44
80.0,1970,2,130408.36
156.0,1988,2,200174.3
114.0,2007,2,184921.23
165.0,1958,3,122842.19
112.0,1925,2,127546.46
150.0,1995,2,203832.98
106.0,2003,2,161029.95
189.0,1998,2,225775.88
106.0,1961,1,140351.42
88.0,1968,1,125920.02
164.0,1914,2,160488.12
97.0,1950,2,120448.64
167.0,2005,3,249000.27
111.0,1987,0,165258.05
161.0,2004,2,204143.55
133.0,1910,2,143552.8
85.0,1961,1,125920.02
125.0,2000,2,180304.11
136.0,1963,2,166143.5
124.0,1993,2,179714.28
252.0,1976,2,278744.0
210.0,2000,2,252375.55
245.0,1880,4,243668.52
160.0,1996,2,209563.03
142.0,1945,1,153391.69
106.0,1910,0,96124.25
123.0,2003,2,184399.88
139.0,1997,2,197337.03
195.0,2005,3,296183.56
95.0,1969,2,148581.7
137.0,1999,2,186452.14
164.0,2007,2,242461.33
129.0,1978,2,160306.86
139.0,1999,2,197337.03
235.0,1995,3,280717.88
80.0,1959,1,123994.53
121.0,1924,2,127762.53
144.0,2009,2,209709.9
220.0,1999,3,297451.84
139.0,1995,2,194004.7
140.0,2008,2,205590.1
159.0,1988,2,200174.3
163.0,1940,1,173047.38
171.0,2004,2,207691.39
305.0,2003,3,469309.44
80.0,1982,2,138313.83
113.0,1951,2,140798.75
104.0,1976,2,153464.48
85.0,1958,1,123588.13
183.0,2006,3,273982.25
112.0,1998,2,170795.36
150.0,2005,3,226549.38
83.0,1974,2,134410.66
188.0,1977,2,198857.9
93.0,1977,2,149742.3
116.0,1995,2,174400.22
149.0,1992,2,200174.3
133.0,2001,2,190416.03
103.0,1978,2,153464.48
138.0,1914,0,125356.27
125.0,1967,2,157596.81
153.0,1915,1,142520.89
194.0,2004,2,220356.39
84.0,1954,1,123588.13
194.0,1966,2,208896.27
106.0,2005,2,161029.95
99.0,1976,2,151359.7
187.0,1996,2,228830.69
139.0,2007,2,206079.19
176.0,1994,2,216165.69
145.0,1980,2,178633.86
119.0,1977,2,160306.86
72.0,1953,1,121025.82
292.0,2008,3,480746.3
164.0,1937,1,173047.38
157.0,1997,2,209563.03
111.0,1916,2,127546.46
135.0,2005,2,191419.34
262.0,2008,3,480746.3
105.0,1954,1,135956.31
133.0,2008,2,224498.12
91.0,1967,1,125920.02
146.0,1923,2,169215.03
101.0,1966,2,151542.42
199.0,1898,2,145716.44
122.0,1974,2,160306.86
79.0,2004,2,147743.25
97.0,1952,2,127717.305
134.0,1958,1,144694.25
116.0,1918,1,123012.34
154.0,1998,2,209563.03
94.0,1954,1,130463.43
157.0,2002,3,261721.05
98.0,1971,2,150767.42
126.0,2009,2,210726.3
152.0,2003,2,200492.72
87.0,1953,2,122756.695
161.0,2003,2,204143.55
138.0,1940,1,143360.97
138.0,2006,2,205462.38
194.0,2007,3,352640.25
73.0,1924,0,91920.3
133.0,2001,2,190416.03
198.0,1967,2,216298.27
114.0,2005,2,174931.78
129.0,1957,2,157596.81
111.0,2005,2,165312.34
170.0,2003,2,207691.39
141.0,1964,2,180793.28
106.0,1961,2,151644.58
99.0,1950,2,127750.98
145.0,1948,2,163453.88
92.0,1973,1,119507.555
102.0,1995,1,138649.38
111.0,1946,1,126346.02
138.0,1925,1,143297.31
143.0,1904,2,160488.12
108.0,1966,2,152872.2
167.0,1961,0,150813.08
132.0,1915,3,143284.22
158.0,1975,2,178633.86
165.0,1993,2,210491.7
80.0,1972,1,117582.07
219.0,1908,2,171624.16
172.0,1976,2,191398.86
79.0,2003,2,147743.25
135.0,2003,2,184892.47
153.0,1941,1,156469.7
134.0,1964,2,166143.5
165.0,1955,2,179163.69
97.0,1962,1,135621.47
95.0,1978,2,151586.64
138.0,1994,2,186686.78
127.0,1976,2,160306.86
247.0,1968,2,278744.0
132.0,1918,1,142575.81
97.0,1965,2,148581.7
102.0,1984,2,156155.34
107.0,1959,1,140351.42
127.0,2007,2,211215.39
93.0,1970,2,148581.7
153.0,2006,3,245256.94
104.0,1961,2,151644.58
216.0,1948,2,189269.62
181.0,1993,2,223543.11
83.0,1962,1,125920.02
156.0,1998,2,209563.03
85.0,1953,2,122756.695
118.0,1949,1,132547.22
105.0,1941,1,126346.02
242.0,2007,2,275834.78
97.0,1963,2,147354.08
207.0,2004,3,301962.78
107.0,1961,2,151644.58
80.0,1978,1,128889.99
101.0,2005,2,154965.25
160.0,1990,2,200174.3
148.0,1992,2,200174.3
207.0,1912,1,144445.72
83.0,1967,1,125920.02
159.0,1999,2,209563.03
159.0,1959,2,176155.8
129.0,1955,1,142406.16
206.0,1970,2,216298.27
140.0,1953,2,174989.92
86.0,1949,2,117500.42
156.0,1978,2,178633.86
99.0,1963,1,137807.19
128.0,1954,1,140342.9
143.0,1979,2,178633.86
167.0,1963,2,185142.98
88.0,1936,1,121796.13
208.0,1979,2,213026.33
220.0,2009,3,440418.34
115.0,1961,1,140351.42
80.0,1971,1,117582.07
121.0,1957,1,138019.53
140.0,2003,2,197337.03
155.0,2006,3,248486.72
84.0,1967,1,125920.02
99.0,1954,1,133412.06
152.0,2006,3,245256.94
191.0,1936,1,206344.25
84.0,1983,2,139230.06
138.0,2005,2,196545.98
211.0,1960,2,214011.67
118.0,1977,1,141039.7
94.0,1925,1,115384.53
186.0,1949,3,156770.4
114.0,2009,2,184921.23
101.0,1970,1,131394.72
45.0,1949,1,99762.54
114.0,1956,1,138019.53
198.0,1991,3,252841.77
131.0,1958,2,157596.81
160.0,1994,2,207483.81
204.0,1900,0,135589.5
122.0,2005,2,184399.88
150.0,1993,2,203832.98
157.0,1980,2,178633.86
105.0,1977,2,153464.48
221.0,2003,3,322171.2
184.0,1968,2,196413.47
166.0,2001,2,212494.44
208.0,1997,2,252375.55
136.0,2007,3,242593.9
86.0,1965,1,125920.02
177.0,2006,3,296359.9
139.0,2004,2,197337.03
192.0,1960,2,214011.67
69.0,1926,2,100561.23
111.0,2003,2,165312.34
183.0,2005,2,244534.28
182.0,2006,3,273982.25
223.0,1940,1,219020.55
161.0,1976,2,178633.86
191.0,1999,2,225775.88
134.0,1977,0,155835.02
152.0,1967,2,178633.86
125.0,1958,2,157596.81
174.0,1890,2,146747.4
106.0,1959,1,140351.42
151.0,2002,3,245256.94
165.0,2002,2,212494.44
128.0,1972,2,157596.81
80.0,1950,2,110250.68
90.0,1965,1,125920.02
71.0,1972,1,117582.07
183.0,1969,2,196413.47
91.0,1975,0,128190.12
182.0,1946,2,161459.25
114.0,1980,2,155582.25
98.0,1962,2,149539.8
124.0,2003,2,184399.88
132.0,1999,2,190416.03
80.0,1958,0,109383.02
267.0,1977,2,257338.86
144.0,1976,2,178633.86
167.0,2007,2,242461.33
176.0,2002,2,213110.88
138.0,2005,2,196545.98
122.0,1940,1,126346.02
102.0,1955,1,138019.53
90.0,1910,0,96124.25
102.0,1958,1,138019.53
111.0,1949,0,108250.375
151.0,2003,2,200492.72
85.0,1979,1,128889.99
133.0,2007,2,224987.22
188.0,1910,2,161139.8
128.0,2000,2,180304.11
81.0,1923,0,94057.69
115.0,2006,2,183734.95
83.0,1954,2,123393.52
104.0,1963,2,151644.58
93.0,1961,2,147354.08
243.0,1998,3,305411.5
118.0,2007,2,189974.84
213.0,2002,2,252375.55
161.0,1977,2,178633.86
108.0,1950,1,132547.22
152.0,1910,1,132048.45
180.0,2009,3,349958.53
189.0,1976,2,223015.03
146.0,2006,2,232465.27
222.0,1997,3,297451.84
162.0,1882,2,150421.78
172.0,1964,2,184489.19
139.0,2005,2,203863.9
160.0,2006,3,285671.2
114.0,1946,1,126346.02
98.0,1961,1,137807.19
